Year,Population,Growth_Rate
1946,19369000,
1947,19866000,2.57
1948,20263000,2.00
1949,20189000,-0.37
1950,20150000,-0.19
1951,19985000,-0.82
1952,20353000,1.84
1953,20833000,2.36
1954,21502000,3.21
1955,21526374,0.11
1956,22253000,3.38
1957,23041000,3.54
1958,23847000,3.50
1959,24632000,3.29
1960,24989241,1.45
1961,25766000,3.11
1962,26513000,2.90
1963,27262000,2.82
1964,27984000,2.65
1965,28705000,2.58
1966,29192721,1.70
1967,30131000,3.21
1968,30838000,2.35
1969,31544000,2.29
1970,31435252,-0.34
1971,32883000,4.61
1972,33591000,2.15
1973,34244000,1.94
1974,34902000,1.92
1975,34706620,-0.56
1976,35849000,3.29
1977,36411000,1.57
1978,36969000,1.53
1979,37534000,1.53
1980,37436315,-0.26
1981,38723000,3.44
1982,39326000,1.56
1983,39910000,1.49
1984,40406000,1.24
1985,40448486,0.11
1986,41184000,1.82
1987,41622000,1.06
1988,42031000,0.98
1989,42449000,0.99
1990,43410899,2.27
1991,43296000,-0.26
1992,43748000,1.04
1993,44195000,1.02
1994,44641000,1.01
1995,44608726,-0.07
1996,45525000,2.05
1997,45951000,0.94
1998,46287000,0.73
1999,46617000,0.71
2000,46136101,-1.03
2001,47370000,2.67
2002,47640000,0.57
2003,47892000,0.53
2004,48138000,0.51
2005,47278951,-1.78
2006,48438000,2.45
2007,48684000,0.51
2008,49055000,0.76
2009,49308000,0.52
2010,47990761,-2.67
2011,49937000,4.06
2012,50194000,0.51
2013,50429000,0.47
2014,50747000,0.63
2015,51014947,0.53
2016,51218000,0.40
2017,51362000,0.28
2018,51607000,0.48
2019,51849861,0.47
2020,51829023,-0.04
2021,51738071,-0.18
2022,51439038,-0.58
2023,51325329,-0.22